,name,duration,rating,review,sentimen
0,Stephanie Zhang,3 months ago,5 stars,kraton takjub unjung kraton februari ingat hingga tempat ideal kenal budaya jawa nikmat tari tradisional gamelan unjung tahu kontribusi sultan gagah berani tahun tahu penting peran yogyakarta juang merdeka indonesia biaya masuk nominal mana mana pantas lihat semua orang perilaku sopan terima kasih keluarga sultan beri unjung sempat baik senang senang kraton yogyakarta,1
1,Y M,9 months ago,5 stars,rasa tempat salah satu tempat paling kunjung daftar yogyakarta terlalu lebar lihat keliling seluruh rasa tenang sejuk hampir taman buka tidak tahu tempat benar benar layak kunjung semua orang milik sedikit lebih rasa tahu budaya indonesia mungkin baik luang waktu unjung centang daftar beberapa tempat bahkan tidak masuk seperti masuk buka akibat orang staf lari arah jadi sangat marah bahasa indonesia baik tunjuk tanda ingat bahasa inggris ambil beberapa foto kena biaya besar rupiah pandu resmi sewa gratis pandu bukan bahasa inggris pandu bahasa inggris alam lebih seru,1
2,C R,6 months ago,5 stars,datang sini hari minggu banyak orang sana nikmat tempat sejarah bagus kunjung suka suasana rekomendasi bawa anak anak sini ajar budaya,1
3,Peony Ang,2 months ago,5 stars,kraton budaya luar biasa tampil tempat bagus rasa budaya jawa nikmat tari tradisional gamelan datang lebih awal capai jam pagi tunjuk baru mulai rekomendasi inap panjang waktu biaya masuk orang asing sangat senang sultan keluarga beri sempat baik duduk lokal asing lam budaya jawa,1
4,Maulana Ahsan Fahmi,11 months ago,5 stars,kraton bagi jadi area tutup buka umum area buka nikmat bangun kendara pakai alat guna kraton zaman untung temu abdi dalem lihat tunjuk seni seniman lokal,0
5,Desi Oktavianika,a year ago,5 stars,museum sangat bagus wajib kunjung ada yogyakarta cari museum tempat sejarah unjung kraton yogyakarta banyak tiga kali kompleks rupa pusat budaya jawa isi museum pamer artefak raja,1
6,walkingtourbin,11 months ago,5 stars,datang sini hampir hari rabu sabtu lihat tunjuk boneka hari minggu lihat tunjuk tari tradisional bagi besar waktu datang bawa tamu pandu wisata unjung kadang kadang datang sini bukan akhir pekan bawa diri lebih paham ajar lebih banyak apa ajar tempat bagus pusat kota yogyakarta lihat tempat tinggal raja yogyakarta tempat milik suasana tenang damai pohon sana layan kerja sini sangat bangga bangun rancang sangat bagus benar kraton cukup besar banyak lihat ajar kraton jadi kalau sini jangan buru buru dar foto foto lihat nikmat tempat sejarah kraton yogyakarta,1
7,Nova Manik,2 weeks ago,5 stars,tempat luar biasa kunjung ajar budaya sejarah kraton yogyakarta tempat tempat dalam jajah pandu hati hati garis waspada beberapa titik larang injak ikut acara at kratonyogyakarta dot instagram lihat tunjuk seni panggung layak tonton,1
8,Claudia Brigita,8 months ago,5 stars,tempat bagus giat budaya sejarah raja sultan yogyakarta banyak lihat hati hati orang orang luar area tukang becak tukang parkir lokal kena biaya rupiah jalan becak tidak guna preman lokal buat kacau bagi area parkir takut keluarga,1
9,Raidzwan Daeng,3 months ago,5 stars,tempat raja yogyakarta kerja tinggal belum banyak sejarah raja raja yogyakarta baca sini arsitektur tradisional yogyakarta orang orang raja kena kostum tradisional lihat sangat indah htm wna rupiah k,1
10,Sheila Khalida Wildanum,4 months ago,5 stars,salah satu ikon budaya yogyakarta wajib kunjung kata pernah yogyakarta kalau pernah kraton kraton kraton guna rumah raja yogyakarta keluarga turun turun ini raja akhir pulau jawa indonesia jaga darah bangsawannya sendiri hingga cukup untung sempat saksi nyanyi gamelan tradisional tari tradisional restoran resmi saji masakan raja dekat,1
11,Reynaldi Widianto,2 months ago,5 stars,banyak atur tempat perlu patuh sini misal tidak guna payung kraton outdoor orang orang ramah tunjuk sore hari,1
12,Merel Scheltema,a month ago,5 stars,layak kunjung jangan percaya orang orang depan pintu masuk beri tahu pintu tutup jadi tipu tempat indah area museum bagus letak rumah tanda tangan jelas jadi pasti lihat keliling hati hati pandu,0
13,Michel te Dorsthorst,4 months ago,5 stars,kraton indah banyak sejarah rekomendasi kunjung,1
14,Shahril Affandi Radzali,3 years ago,5 stars,kilas raja kuno pulau jawa kraton buat unjung pesona arsitektur nilai sejarah tempat wajib kunjung pertama kali datang yogyakarta ajar banyak sejarah khusus keluarga raja letak pusat daerah istimewa yogyakarta akses segala sudut kraton sila habis satu malam jalan jalan kompleks kraton padan waktu kompleks sedia pandu bawa semua tempat untung milik pandu sangat ramah banyak akal sejarah kraton keluarga raja sejarah raja sila periksa waktu kunjung keluarga raja tinggal kraton kunjung tidak sesal,1
15,Hobi Gori,3 weeks ago,5 stars,alam luar biasa budaya tradisional rasa waris tenang,1
16,pilo im,a month ago,5 stars,nikmat lebih baik harap pandu bahasa inggris lucu senang tahu rahasia kisah keluarga raja indonesia sejarah sembunyi layak kunjung,1
17,Johanes Jenito,3 years ago,5 stars,tempat sangat bagus kunjung turis bagi besar tahu jawa sedia masa kraton tempat bagi sejarah indonesia bukan bagi kuasa politik kraton angkat jadi gubernur resmi provinsi yogyakarta hal provinsi negeri milik otonomi khusus gabung cara cara politik historis sangat tradisional demokrasi modern unjung datang semua paham peran kraton awal hingga ada kini,1
18,Yustiana E,4 months ago,5 stars,kunjung yogya jangan lupa lihat kraton yogyakarta untung lihat tunjuk gamelan tari kraton,1
19,Timothé Paris,3 years ago,5 stars,kraton museum bagus tiket masuk rupiah diri beberapa bangun indah beberapa pamer barang barang kuno jelas hidup sultan jangan percaya orang dekat pintu masuk bilang tutup siang jelas bohong,0
20,Endang's Art Cave,4 years ago,5 stars,pasuk kompleks kraton bawa langsung pulau jawa kala kompleks indah milik banyak koleksi lihat unjung museum unik raja ratu tinggal sini masyarakat lihat buka layak museum umum benar benar wajib kunjung wisatawan yogyakarta istimewa tempat,1
21,Fransiska Astuti,3 years ago,5 stars,simbol kota yogyakarta rumah sultan yogyakarta kraton kenal pusat kuasa yogyakarta seluruh masyarakat yogyakarta turut kata sultan bahkan bukan orang otoriter pandu salah satu prajurit sultan pandu wisata waktu luang jelas beliau jelas bagi kraton buat wakil simbol makna dalam bagaimana kapan bangun tiap bagi punya cerita masing masing tempat sangat sejarah bagi rumah aula kraton punya fungsi masing masing sempat beda manekin kena pakai tradisional indah bagai sempat masing masing pajang ruang pamer temu replika masjid agung masjid agung pertama yogyakarta pintu masuk aula utama singgasana dapat boneka algojo sisi kiri kanan spotnya tidak guna sayang tidak lihat kereta emas pikir ulang tur fasilitas kamar kecil toko souvenir meja informasi sedia tidak antre kursi roda,1
22,Ridho Dwi Mardiyanto,a year ago,5 stars,kawasan kraton kraton yogyakarta buka umum tiket masuk domestik rupiah internasional rupiah tempat simpan banyak sejarah kraton yogyakarta sangat rekomendasi wisatawan kunjung yogyakarta,1
