,name,duration,rating,review,sentimen
0,Stephanie Zhang,3 months ago,5 stars,kraton takjub unjung kraton februari ingat hingga tempat ideal kenal budaya jawa nikmat tari tradisional gamelan unjung tahu kontribusi sultan gagah berani tahun tahu penting peran yogyakarta juang merdeka indonesia biaya masuk nominal mana mana pantas lihat semua orang perilaku sopan terima kasih keluarga sultan beri unjung sempat baik senang senang kraton yogyakarta,1
1,Y M,9 months ago,5 stars,rasa tempat salah satu tempat paling kunjung daftar yogyakarta terlalu lebar lihat keliling seluruh rasa tenang sejuk hampir taman buka tahu tempat benar benar layak kunjung semua orang milik sedikit lebih rasa tahu budaya indonesia mungkin baik luang waktu unjung centang daftar beberapa tempat bahkan masuk seperti masuk buka akibat orang staf lari arah jadi sangat marah bahasa indonesia baik tunjuk tanda ingat bahasa inggris ambil beberapa foto kena biaya besar rupiah pandu resmi sewa gratis pandu bukan bahasa inggris pandu bahasa inggris alam lebih seru,1
2,C R,6 months ago,5 stars,datang sini hari minggu banyak orang sana nikmat tempat sejarah bagus kunjung suka suasana rekomendasi bawa anak anak sini ajar budaya,1
3,Peony Ang,2 months ago,5 stars,kraton budaya luar biasa tampil tempat bagus rasa budaya jawa nikmat tari tradisional gamelan datang lebih awal capai jam pagi tunjuk baru mulai rekomendasi inap panjang waktu biaya masuk orang asing sangat senang sultan keluarga beri sempat baik duduk lokal asing lam budaya jawa,1
4,Maulana Ahsan Fahmi,11 months ago,5 stars,kraton bagi jadi area tutup buka umum area buka nikmat bangun kendara pakai alat guna kraton zaman untung temu abdi dalem lihat tunjuk seni seniman lokal,0
5,Desi Oktavianika,a year ago,5 stars,museum sangat bagus wajib kunjung ada yogyakarta cari museum tempat sejarah unjung kraton yogyakarta banyak tiga kali kompleks rupa pusat budaya jawa isi museum pamer artefak raja,1
6,walkingtourbin,11 months ago,5 stars,datang sini hampir hari rabu sabtu lihat tunjuk boneka hari minggu lihat tunjuk tari tradisional bagi besar waktu datang bawa tamu pandu wisata unjung kadang kadang datang sini bukan akhir pekan bawa diri lebih paham ajar lebih banyak apa ajar tempat bagus pusat kota yogyakarta lihat tempat tinggal raja yogyakarta tempat milik suasana tenang damai pohon sana layan kerja sini sangat bangga bangun rancang sangat bagus benar kraton cukup besar banyak lihat ajar kraton jadi kalau sini jangan buru buru dar foto foto lihat nikmat tempat sejarah kraton yogyakarta,1
7,Nova Manik,2 weeks ago,5 stars,tempat luar biasa kunjung ajar budaya sejarah kraton yogyakarta tempat tempat dalam jajah pandu hati hati garis waspada beberapa titik larang injak ikut acara at kratonyogyakarta dot instagram lihat tunjuk seni panggung layak tonton,1
8,Claudia Brigita,8 months ago,5 stars,tempat bagus giat budaya sejarah raja sultan yogyakarta banyak lihat hati hati orang orang luar area tukang becak tukang parkir lokal kena biaya rupiah jalan becak guna preman lokal buat kacau bagi area parkir takut keluarga,1
9,Raidzwan Daeng,3 months ago,5 stars,tempat raja yogyakarta kerja tinggal belum banyak sejarah raja raja yogyakarta baca sini arsitektur tradisional yogyakarta orang orang raja kena kostum tradisional lihat sangat indah htm wna rupiah k,1
