,name,duration,rating,review,sentimen
0,Stephanie Zhang,4 months ago,5 stars,kraton takjub unjung kraton februari ingat hingga hari,1
1,Y M,9 months ago,5 stars,kira tempat salah satu situs kunjung atas daftar yogyakarta terlalu lebar lihat keliling seluruh rasa tenang sejuk dalam,1
2,C R,7 months ago,5 stars,datang sini hari minggu banyak orang sana nikmat tempat sejarah bagus kunjung suka suasana rekomendasi bawa anak anak sini ajar budaya,1
3,Peony Ang,3 months ago,5 stars,kraton budaya luar biasa tampil tempat bagus alami budaya jawa nikmat tari tradisional,1
4,Maulana Ahsan Fahmi,a year ago,5 stars,kraton bagi jadi area tutup buka umum areal buka nikmat bangun kendara pakai alat guna kraton zaman untung temu abdi dalem lihat tunjuk seni seniman lokal,1
5,Nabilah Nindya Sahara,a week ago,5 stars,kraton yogyakarta kenal kraton yogyakarta landmark budaya sejarah signifikan yogyakarta indonesia unjung kraton lang mundur masa lalu benam diri kaya waris jawa,1
6,walkingtourbin,a year ago,5 stars,datang sini hampir hari rabu sabtu lihat tunjuk wayang hari minggu lihat tunjuk tari tradisional bagi besar waktu datang bawa tamu pandu wisata unjung terkadang datang sini bukan akhir pekan,1
7,Nova Manik,a month ago,5 stars,tempat luar biasa kunjung ajar budaya sejarah kraton yogyakarta tempat tempat dalam jajah pandu,1
8,Claudia Brigita,9 months ago,5 stars,tempat bagus giat budaya sejarah raja sultan yogyakarta banyak lihat hati hati orang orang luar area kemudi becak preman parkir lokal kena biaya rupiah ribu jalan becak guna,1
9,Raidzwan Daeng,4 months ago,5 stars,tempat mana raja yogyakarta kerja tinggal belum banyak sejarah raja raja yogyakarta baca sini arsitektur tradisional yogyakarta orang orang raja pakai tradisional lihat sangat indah htm wna rupiah rb,1
10,David H,a month ago,5 stars,kraton yogyakarta wajib kunjung unjung daerah sebut kraton tempat tinggal banyak sultan lama tahun tahun untung mungkin milik sempat lihat cucu cucu sultan jalan jalan pekarang pasti milik air tinggal unjung tunjuk langsung,1
11,Alvy Vickry Pascavy Radyan,5 days ago,5 stars,layak kunjung beberapa area tutup renovasi,1
12,R Imam Nurhidayat,2 months ago,5 stars,kraton kata ibukota budaya mataram jawa tetap standar tinggi adab jawa bangun tahun piagam giyanti kraton yogyakarta terus waris mataram islam meski,1
13,Sheila Khalida Wildanum,4 months ago,5 stars,salah satu icon budaya yogyakarta wajib kamu kunjung kata kamu pernah yogyakarta kalau pernah kraton kraton guna rumah raja yogyakarta keluarga lama beberapa generasi ini raja akhir jawa,1
14,Agus Wiwanto,5 months ago,5 stars,perlu datang sini tahu lebih jauh yogyakarta biaya masuk murah bayar biaya pandu sesuai ingin ikan benar butuh pandu milik tahu luas senang hati jawab,1
15,Reynaldi Widianto,3 months ago,5 stars,banyak atur lokal perlu patuh sini misal guna payung kraton outdoor orang orang ramah tunjuk sore hari,1
